Date / Time,City,State,Shape,Duration,Summary,Posted
10/06/2020 11:50,Abilene,TX,Other,15 seconds,Craft with curved wings like an S shape (for the wings) flying over then vanish,11/05/2020
10/06/2020 11:00,Ueda,,Sphere,2 minutes,After loss of sleep with no dream recall I had an Abduction Experience and UFO sighting.,12/23/20
10/06/2020 6:40,Tulsa,OK,Circle,4 minutes,"Light came from southwest moving east northeast. Thought it was iss, but as it came closer it was too bright. Was very bright white not",11/05/2020
10/06/2020 6:15,Farmers Branch,TX,Light,3-4 seconds,Fast moving object,11/05/2020
10/06/2020 4:30,Hubbard,OR,Flash,5-10 minutes,"This morning I was sitting in my bedroom watching TV (My room is in front of the house, facing east) and I looked out my window and tho",11/05/2020
10/06/2020,Enumclaw,WA,Triangle,,My son two of my friends (who are in there 50s) and myself were walking my friends pup and we heard a jet. I looked up to see 3 lights,12/23/20
10/05/2020 0:00,Pensacola,FL,Triangle,20 minutes,just after turning dark while a tree crew was cutting down a very large tree limb in my back yard that fell from hurricane sally. a tri,11/05/2020
10/05/2020 21:05,China Spring,TX,Disk,2 minutes,"Two circles or disks with pulsating strobe that softened plus the rings looked concentric. No engines were heard, smooth movement unli",12/23/20
10/05/2020 21:00,Malvern,,Changing,30 Minutes,Unexplainable rotating light pattern effect in the low cloud at night and strange loud humming sound,12/23/20
10/05/2020 21:00,Bennettsville,SC,Triangle,three minutes,Second Triangular craft reported over Bennettsville,12/23/20
10/05/2020 20:57,Albuquerque,NM,Other,25 seconds,my porch is newly sealed,11/05/2020
10/05/2020 20:20,Manchester,CT,Fireball,2,Glowing orange orb moving across the sky,11/05/2020
10/05/2020 20:00,New York City (Brooklyn),NY,Egg,3 minutes,"Shape, speed and flight pattern seem to defy normal aircraft",11/05/2020
10/05/2020 19:03,Avon,OH,Other,15 minutes or longer,Bright cigar shaped objects with two tails curving toward each other,11/05/2020
10/05/2020 19:01,Houston,TX,Light,7 minutes,Green lights moving quickly,11/05/2020
10/05/2020 18:45,Chandigarh (India),,Triangle,1 minute,We saw a big boomerang shaped craft above us (INDIA) 5-10-2020,12/23/20
10/05/2020 17:00,Staten Island,NY,Circle,2 minutes,I was fishing on the pierre on SOUTH BEACH S.I. N.Y. 12 other people were also there a SILVER ROUND CRAFT was seen doing VERY FAST MON,11/05/2020
10/05/2020 16:01,LaSalle (Canada),ON,Rectangle,3 minutes,15:01 until 15:03 I witnessed a moving rectangular object slowly moving across the northern sky.,11/05/2020
10/05/2020 15:01,Meeker,CO,Cylinder,10 minutes,"Observed a matalic cylinder shaped object,hovering vertically about 1 1\2 miles away.",12/23/20
10/05/2020 14:21,Farmington Hills,MI,,,MADAR Node 144,12/23/20
10/05/2020 14:12,Littlerock,AR,,,MADAR Node 56,12/23/20
10/05/2020 13:00,Louisville,KY,Cigar,3 minutes,"Low flying all white craft, est. 100 ft up. Looked like a military drone.",3/02/2021
10/05/2020 10:35,Potterville,MI,Disk,Unknown,Object was noticed post event in a cell phone picture.,12/23/20
10/05/2020 8:00,Ellensburg,WA,Oval,20 seconds,Large oval metallic and shiny looking object in the sky Between Ellensburg and Yakima near the military training center in the morning.,12/23/20
10/05/2020 6:47,Fishers,IN,,,MADAR Node 84,12/23/20
10/05/2020 6:30,Lakeside,CA,Circle,5 minutes,White spots in space,11/05/2020
10/05/2020 3:10,Walworth,WI,Light,30 minutes,bright star like form moving up and down,11/05/2020
10/05/2020 1:25,Tucson,AZ,Light,15 seconds,"Saw two red/orange dots rising to the southeast; they weren't blinking like a plane, just slowly rising.",11/05/2020
10/05/2020 0:30,Prestonsburg,KY,Disk,2 minutes,Disc shaped object moving in strange directions very quickly,12/23/20
10/04/2020 0:00,Birkenfeld,OR,Cylinder,Sept 16 to current,"September 16, 2020--- On this night, at approximately 2:00 am, I was laying in bed with my 9 year old son in our “apartment&quot; on m",11/05/2020
10/04/2020 22:30,Vancouver,WA,Disk,~40 minutes,"At approximately 10:30 pm on the night of 10/4/2020 in the eastern sky over Vancouver Washington,my girlfriend and I noticed strange li",11/05/2020
10/04/2020 22:30,Niagara Falls (Canada),ON,Circle,4:00,4 Weird lights seem to be repeating a pattern in sky. ((NUFORC Note: Advertising lights?? PD)),11/05/2020
10/04/2020 22:15,Tempe,AZ,Light,6 minutes,UFO Sighting in Phoenix Metro area in the vicinity of Sky Harbor International Airport,11/05/2020
10/04/2020 22:00,Independence,MO,Triangle,3 minutes,Traiangular silent craft with three white lights flew very low over our heads,12/23/20
10/04/2020 22:00,Franklin,OH,Circle,10 minutes,Franklin Ohio October 2020,11/05/2020
10/04/2020 21:30,Mason,MI,Light,1 minute,"It was what looked like a bright star or thought it was maybe mars but as I video it, it seemed to change colors and pulse it's not the",11/05/2020
10/04/2020 21:30,South edmond,OK,Cigar,5 seconds,"White craft cigar shaped traveled west to east, There were no lights on just a white cigar shaped craft. Approximate speed was 800 to 9",12/23/20
10/04/2020 20:45,Lowell,MI,Circle,30 seconds,Bright light looked like shooting star from south to north then immediately stopped. The objected turned 90 degrees and accelerated out,11/05/2020
10/04/2020 20:42,Lachine (Canada),QC,Fireball,2 hours,1. Looked like a ball of fire with it's circumference flickering slighly. 2. With in a two hour span i sighted approx. 19 of the o,11/05/2020
10/04/2020 20:00,Springfield,IL,Light,2 minutes,((NUFORC Note: Witness fails to provide detailed information about the sighting. PD)),11/05/2020
10/04/2020 19:30,New Windsor,NY,Flash,45 minutes,4 flashing lights/orbs hovering above residential area in triangle to rectangle patterns,11/05/2020
10/04/2020 14:08,Kansas City,MO,,,MADAR Node 40,12/23/20
10/04/2020 13:28,Hanover,MD,,,MADAR Node 77,12/23/20
10/04/2020 6:05,West Chazy,NY,,,MADAR Node 65,12/23/20
10/04/2020 1:00,Tempe,AZ,Oval,15 minutes,A round oval shaped like Traveling north south east west circular Flashing lights rotated Red Blue White I felt an energy as it drew c,11/05/2020
10/03/2020 22:55,Austin,TX,Changing,1 minute,"Bubble or orb-like craft sighting over North Austin, TX.",11/05/2020
10/03/2020 22:55,Austin,TX,Changing,1 minute,"Bubble or orb-like craft sighting over North Austin, TX",12/23/20
10/03/2020 22:30,Playa del Rey,CA,Circle,2 minutes,Object was hoovering over ocean.near los angeles international airport.the object was a glowing red. It started to move north up the ca,11/05/2020
10/03/2020 21:00,mill creek,WA,Sphere,1 minute,Taking dog in front of my house before going to bed. Look up and see brilliant / bright orange/red object silently moving from North t,12/23/20
10/03/2020 21:00,Everett,PA,Triangle,,"One was much larger than the other and the smaller one appeared to be be following the much larger one, they also appeared to be commun",11/05/2020
10/03/2020 21:00,Spring City,PA,Flash,2 seconds,Green light in the sky,11/05/2020
10/03/2020 20:35,Walterville,OR,Other,2 minutes,a bright star of fire,11/05/2020
10/03/2020 20:30,Ballston,NY,Sphere,3-4 minutes,"5 friends witness and record a star-like ball of white light &quot;jump&quot; positions, fly through the sky and over them, and fade aw",11/05/2020
10/03/2020 20:00,Bethel Park,PA,Light,2 minutes,"I was looking up at the big dipper, and to the left of the end of the handle, I witnessed a light slightly dimmer than the nearest star",11/05/2020
10/03/2020 20:00,Chewelah,WA,Unknown,3 minutes,"large craft stationary about a mile up,very bright green and red lights with huge white light between craft hovered for several minutes",12/23/20
10/03/2020 19:30,East Granby,CT,Teardrop,90 seconds,Two teardrop shaped UFO’s seen near Bradley Airport.,11/05/2020
10/03/2020 18:00,Anchorage,AK,Circle,over a month already,bright orange UFO moving around all night. ((NUFORC Note: Possibly a planet?? PD)),11/05/2020
10/03/2020 17:41,New York,NY,Sphere,30 seconds,"brilliantly yellow ball-like shape moving way high in sky, with short white smoke behind that disappeared",12/23/20
10/03/2020 15:50,Shrewsbury,NJ,Unknown,30-60 seconds,"At approx 15:50 I was traveling westbound on Sycamore ave. in Little Silver, NJ towards Shrewsbury. Further west from us and directly a",11/05/2020
10/03/2020 15:00,Rossville,KS,Sphere,1 minute,White spheres spotted in Rossville Kansas,11/05/2020
10/03/2020 8:32,Ponca City,OK,Formation,5-10 minutes,Pentagon Formation folloiwed by huge vapor trail,11/05/2020
10/03/2020 4:00,"Lake Kinderhook, Niverville Hamlet",NY,Rectangle,15 minutes,"Two glowing blue objects with pulsing tangerine lights below, suspended absolutely still, in close view; dog agitated",12/23/20
10/03/2020 1:40,Linden,NC,Cylinder,5 hours,Please watch the video,11/05/2020
10/03/2020 0:38,Kelowna (Canada),BC,Chevron,2 minutes,"I went out to the backyard to call our cat inside for the night. I looked up and noticed what at first appeared to be an airplane, comp",11/05/2020
10/02/2020 23:29,West Covina,CA,Unknown,5 minutes,A bright orange flickering UFO moved from left to right over the 10 freeway in West Covina before turning and flying back/upward.,11/05/2020
10/02/2020 22:59,Austin,TX,Light,25-30 seconds,My daughter (10y.o.) and I had just returned from getting groceries. When I closed the trunk and proceeded toward the house I immediate,11/05/2020
10/02/2020 22:00,Berea,KY,Triangle,,3 noiseless and dark triangular aircraft were spotted hovering completely still over the interstate I-75.,11/05/2020
10/02/2020 21:18,Lewes,DE,Sphere,5 minutes,Red fiery round object in sky,11/05/2020
10/02/2020 20:20,Center Conway,NH,Light,24 seconds,"A stationary bright flash of light in the northern sky at 50 degrees from horizontal.It disappeared, then every three seconds after",11/05/2020
10/02/2020 20:00,New Hartford,NY,Circle,2 mins,2 Pink Orbs above crowd multiply then zip away VIDEO in Description,12/23/20
10/02/2020 19:40,Mililani,HI,Disk,1 minute,Peace sign like saucer with red and green lights moving slowly in the sky,12/23/20
10/02/2020 19:15,Brunswick,ME,Circle,2 minutes,2 very fast circular crafts moving impossibly fast followed by 3 helicopters at much lower speed.,11/05/2020
10/02/2020 18:45,Center Harbor,NH,Light,15 minutes,Lights hovering over Lake Winnipesaukee,11/05/2020
10/02/2020 9:30,Bryn Mawr,PA,Light,45 seconds,"Bright circle of light flying low, quickly and erratic about the size of a softball",12/23/20
10/02/2020 8:00,Yukon,OK,Sphere,3-4 minutes,Yellow light above treeline in the country too big to be a light or plane,11/05/2020
10/01/2020 23:00,Shelton,CT,Other,2 seconds,"Green meteorite came out of sky, de-flames itself if that’s a word, spacecraft hovering in air, disappears into thin air, warp drive ?",11/05/2020
10/01/2020 22:00,Troy,OR,Triangle,1 minute,Two large triangle craft and one small white triangle craft,12/23/20
10/01/2020 21:00,Cumming,GA,Cigar,All night,a large red light resembling a ferris wheel ... We have seen this huge light on several occasions and when no stars are visible...When,12/23/20
10/01/2020 21:00,Cedar Rapids,IA,Triangle,4 minutes,"At 9:00 pm on Thursday October 1st, I was taking out my garbage when I saw a aircraft slowly coming towards my home, west to east, goin",11/05/2020
10/01/2020 20:30,Gaston,SC,Triangle,30 minutes +,"same as reported on 9/30/2020 triangular craft in western sky at 280 degs, inclination is ~30 degs this is about 1 hr earlier than yest",11/05/2020
10/01/2020 20:05,Harrogate,TN,Triangle,3 minutes,Three bright white lights moving in unison in a triangular shape.,11/05/2020
10/01/2020 20:00,Mount Carmel,PA,Circle,5 minutes,"Saw a white white circular shape float across the sky for about a mile, then went behind a tree waited for it to come out the other sid",11/05/2020
10/01/2020 19:45,Roebling,NJ,Circle,2 minutes,"At roughly 7:45pm on Friday, October 1, 2020 I was standing in my front yard along with five other members of my family. We were trying",11/05/2020
10/01/2020 16:00,Windsor Locks,CT,Cigar,2 seconds,Fast bright cigar shaped object,11/05/2020
10/01/2020 10:26,North Billerica,MA,Cone,30 seconds,"Three silver UFO's circling/erratically moving over Route 3 in North Billerica, MA. on crystal clear day",11/05/2020
10/01/2020 10:00,Troy,OR,Triangle,1 minute,Two large triangle craft and one small white triangle craft,12/23/20
10/01/2020 8:50,Austin,TX,Cigar,5 minutes,Cigar-Shaped hovering craft spotted near I-35 and 290 exit north of Austin,12/23/20
10/01/2020 6:30,Aberdeen (UK/Scotland),,Unknown,30 seconds,I was driving to work this morning and i noticed what i thought was a plane in the sky coming into land as it was very low but as i loo,11/05/2020
10/01/2020 6:04,Ludlow,MA,Other,30 seconds,"I saw a white, reflective, and tic tac shaped object with no lights that flew over my house twice in a span of 5 mins",11/05/2020
10/01/2020 6:00,Temple City,,Changing,2 minutes,Object approached from south at 400 feet in altitude. Appeared to be floating with no lights. Estimated size about that of a small comp,11/05/2020
10/01/2020 6:00,Ludlow,MA,Other,5 minutes,"I saw a white, reflective, silent, and tic tac shaped object fly over my house twice of a span of 5 mins and recorded it.",11/05/2020
10/01/2020 5:55,Johnson City,TN,Triangle,5 minutes,Triangular shaped with three bright white lights in vertical stationary position,11/05/2020
10/01/2020 5:00,Moundville,AL,Changing,30 minutes,It wasn't the normal star. It was strobing and sparkling like a sparkler and it was lower than a star .All the years that I've lived h,11/05/2020
10/01/2020 4:00,Redding,CA,Circle,10 seconds,Two black dots playing hide and seek.,12/23/20
10/01/2020 4:00,Covington,PA,Light,2 hours,I woke up at 4am to go to the bathroom and when I layed back down I saw a really bright light in the sky that I have never noticed befo,11/05/2020
10/01/2020 2:37,Everett,WA,Disk,1 hour,Reflective object with time loss,11/05/2020
9/12/2020 22:55,Anthem,AZ,Changing,2 minutes,Circular Red/White Light Doing Acrobatics In the Air,11/05/2020
9/12/2020 22:00,Winnipeg,MB,Sphere,50 minutes,"Three lights, stayed in one spot for half an hour, flashed. And disappeared.",11/05/2020
9/12/2020 22:00,Hamilton (Canada),ON,Formation,"Unsure, few minutes",A series of orange star-like orbs moving in one direction,11/05/2020
9/12/2020 22:00,Middleton,WI,Light,30-60 seconds,"Bright Lights, 12-15 flying together, moving under power, much brighter than anything I have ever seen. (Starlink satellites?)",11/05/2020
9/12/2020 21:00,Kirkland,WA,Circle,~30 minutes,4 rotating orange lights in the Kingsgate area above the Safeway.,11/05/2020
9/12/2020 20:50,Burlington (Canada),ON,Light,5 minutes,Let my dogs outside in the backyard to pee before bedtime. I heard the strangest sound. Similar to a lawn mower or maybe a train but we,11/05/2020
9/12/2020 20:30,Millcreek,UT,Circle,1 second,Fast moving white light over Salt Lake County.,11/05/2020
9/12/2020 20:20,Phoenixville,PA,Other,20 seconds,Very fast moving orange arura/ haze flying at amazing speeds and stops to make quick turns.,11/05/2020
9/12/2020 12:11,Lockport,IL,Light,10 minutes,((NUFORC Note: Source of report provides no detailed information about the sighting. PD)),11/05/2020
9/12/2020 9:41,Clifton Park,NY,Oval,10 minutes,I was looking out my bedroom window and I noticed an object rotating in the sky and was just rotating in place for 3 -5 minutes then it,11/05/2020
9/12/2020 7:30,Ontario,CA,Chevron,20 minutes,UFO view,11/05/2020
9/12/2020 6:30,Grosse Ile,MI,Sphere,~7 hours,Two objects that appeared as planets even after sunrise - one may have been Venus but then what was the other one?,12/23/20
9/12/2020 4:45,Somersworth,NH,Rectangle,2 minutes,Very large craft with intense bright lights.,11/05/2020
9/12/2020 4:08,Grand Junction,CO,,,MADAR Node 75,11/05/2020
9/11/2020 22:40,St. Clair,MI,Circle,on going,Satellite drone disguising as a star,11/05/2020
9/11/2020 22:01,Portland,ME,Other,7 minutes,Lights that turned into a white cloud,3/02/2021
9/11/2020 22:00,Washington,PA,Fireball,5 minutes,Husband and I thought it was Mars we were looking at. Next thing we know the &quot;star&quot; appeared to get bigger glowing bright red,11/05/2020
9/11/2020 20:26,Conifer/Pine,CO,Flash,10+,"Fast, low flying object flew through our valley, then went out of sight and then came back and starting moving/reappearing erratically.",11/05/2020
9/11/2020 20:20,Huntsville,AL,Light,30 seconds,Two white point sources of light (one and then another) rose straight up from NW horizon and slowly faded in brightness while veering o,11/05/2020
9/11/2020 14:31,Santa Barbara,CA,,,MADAR Node 57,11/05/2020
9/11/2020 13:53,Spokane,WA,,,MADAR Node 37,11/05/2020
9/11/2020 5:15,Chisholm,MN,Cylinder,2 minutes,Bright lights following an aircraft and then rapidly changing directions and disappearing.,11/05/2020
9/11/2020 3:30,York,SC,Oval,1.5 hours,"Bright colorful lights, capsule shaped object",11/05/2020
9/11/2020 0:00,Cabot,AR,Other,1 hour,A red object flying in the sky seen spinning at a very fast rate and still photos show a circle with another circle inside it.,11/05/2020
9/11/2020,,,,,"I am a 19 year corrections officer. During my stay on 9/11/2020 at an Airbnb in Colrain, MA myself and eight friends were on a walk",11/05/2020
9/10/2020 21:00,Gloucester,MA,Sphere,15 minutes,I first saw the object with a circular pattern of lights hovering at about 300 yards over my head near the Gloucester City Hall... It h,11/05/2020
9/10/2020 20:30,Evansville,IN,Light,10-15 minutes,I see possibly two of the same craft that landed on Maxwell Avenue,11/05/2020
9/10/2020 20:00,Yorktown,NY,Light,2 minutes,"All I saw were these bright lights over the tree tops, getting closer and closer. As I was riding on the taconic I kept looking at the",11/05/2020
9/10/2020 19:47,Hilltown,PA,Triangle,20 seconds,Large fireball entered atmosphere with windblown fire until parachutes opened and landed about ¾ mile apart. Shaped like an Elon Musk c,12/23/20
9/10/2020 6:19,Garrettsville,OH,,,MADAR Node 64,11/05/2020
9/10/2020 3:00,Pensacola,FL,Light,5 minutes,It was about September 2020 I was at the water in the Fairfield me and this girl were sitting there talking and all the sudden she inte,3/02/2021
9/09/2020 22:00,Winterhaven,CA,Light,1 hour,Twinkling fast moving light/lights in a non-linear trajectory at high speeds,11/05/2020
9/09/2020 19:18,Tigard,OR,Other,<3 seconds,"Small, faint blue pinpoint light that shot overhead, maybe 50'.Made a whooshing noise as it went by, almost like a tracer from small ar",11/05/2020
9/09/2020 18:00,Riverview,FL,Cigar,5 minutes,Submarine Shaped UFO Hiding Within & Around Clouds,11/05/2020
9/09/2020 9:00,Intervale,NH,Circle,12 minutes?,This shit was real. Extremely large visible and illuminated to the point where I was almost scared how low it was,11/05/2020
9/09/2020 8:30,Concord,NH,Triangle,7min,Triangle observed,12/23/20
9/09/2020 7:45,Delaware,OH,Teardrop,30 minutes,Traveling east on Rt 36 I saw 3 silver teardrop shaped objects in the sky. Pulled into a parking lot to watch them. There were several,11/05/2020
9/09/2020 5:37,Brockport,NY,Other,9 seconds,Flash and then a trail in the sky.,11/05/2020
9/09/2020 5:13,Morristown,TN,Circle,2hrs 37 min.,Looks like a guiding object...,11/05/2020
9/09/2020 1:00,Norwich,NY,Circle,20 seconds,I walked to the park just to walk and I look up and see 3 reddish orange dots not moving in the sky it was about 2 or 3 miles away from,11/05/2020
9/09/2020 0:30,Skopje (Macedonia),,Light,10 seconds,Flying object over Skopje,11/05/2020
9/08/2020 20:00,Halifax (Canada),NS,Formation,hours,three bright red lights in a row hovering over the city of halifax on the night of September 7th and then again on the 8th. Both betwee,11/05/2020
9/08/2020 19:30,Katy,TX,Sphere,20 minutes,Just before dusk on September 7th of 2020 something that looked like a large glowing ball or disk passed silently over our house. The,11/05/2020
9/08/2020 19:22,Apucarana (Brazil),,Circle,a minute,"Bright white circle object far as a star moving, dimmed lights moved fast and vanished",11/05/2020
9/08/2020 19:00,Forest Hills,PA,Changing,5min.,White line in the sky at Sunset turns upward and takes off with a large plume behind like a launched rocket.,1/19/21
9/08/2020 16:36,Council Bluffs,IA,,,MADAR Node 133,11/05/2020
9/08/2020 11:00,Queen Creek,AZ,Other,Still,"Bright orange colored object in the sky, still there and has been circling and going back and forth for over two hours now. Just northw",11/05/2020
9/08/2020 6:00,Rockport,MA,Disk,5 minutes,"On September 8, 2020 at 0600 hrs I was standing outside on Granite Street in Rockport, MA 01966. I observed two objects approximately 2",11/05/2020
9/08/2020 4:25,Hendersonville,TN,Other,10 minutes,Mu husband woke up last night to go to the bathroom and happened to look out the window. He then woke me up to come take a look. We b,11/05/2020
9/08/2020 3:50,Telford (UK/England),,Unknown,20 minutes,Heavy landing. .Extremly bright white light.. No sound. Lifted singly off the ground. Strong pulse on leave that affected my printer.,1/19/21
9/08/2020 3:39,Spokane,WA,,,MADAR Node 37,11/05/2020
9/08/2020 2:00,Edmonton (Canada),AB,Triangle,10 seconds,"Grey Triangle appears out of the black sky, descends and moves east accelerating at a phenominal rate.",11/05/2020
9/07/2020 22:30,Bethesda,MD,Flash,3 minutes,Bright flashes in Bethesda/Chevy Chase area,11/05/2020
9/07/2020 21:41,Nissequogue,NY,Circle,~8 minutes,Flying circle with tons of lights traveling at a very high speed.,11/05/2020
9/07/2020 21:30,Doublas,MA,Sphere,1 minute,One soundless glowing (not flickering)orange sphere approximately 3 feet in diameter,11/05/2020
9/07/2020 21:05,Erie,PA,Sphere,60 seconds,"Bright orange circle in sky looked on fire, was flying very fast and as it turned in east direction, it slowed down and then flickered",11/05/2020
9/07/2020 19:25,York Springs,PA,Circle,10 minutes,I was watering my garden and was looking up at the sky. I turned towards the North and saw this large illuminated object. I stood there,11/05/2020
9/07/2020 19:00,Orrstown,PA,Circle,20 minutes,"circular bright lights on the outside occasionally one light sticking down lower from center, very slowly moving no exhaust fumes, pret",11/05/2020
9/07/2020 12:00,Ocean City,MD,Diamond,ongoing,White diamond out over ocean in daylight hovering,11/05/2020
9/07/2020 12:00,Ocean City,MD,Diamond,>2 hours,White diamond out over ocean in daylight... hovering (over 2 hours),11/05/2020
9/07/2020 11:30,Naples,FL,Other,1-2 minutes,Small dark object tracking linearly at constant speed over gulf,11/05/2020
9/07/2020 5:00,West Linn,OR,Disk,1.5 hours,disc shaped with multiple colored lights covering whole surface,11/05/2020
9/07/2020 4:45,Anchorage,AK,Circle,20,"3 circular orange lights that were extremely bright, they didn’t move they just hovered and one of the circles was close to the moon. I",11/05/2020
9/07/2020 4:00,Sandpoint,ID,Circle,2 hours,There was a bright glowing object in one spot that moved here and there for about an hour definitely not a airplane or star I have vide,11/05/2020
9/06/2020 23:45,Ketchikan,AK,Light,1 hour,A bright light that seems to disappear when I zoomed in on the object.. Sometimes disappearing though this time it looked as if it almo,11/05/2020
9/06/2020 23:25,Marcy,NY,Circle,1 minutes,5 strange lights over crowd video in description,11/05/2020
9/06/2020 23:15,Burbank,CA,Sphere,15 seconds,"From my second story balcony I witnessed a large metallic sphere appear over the horizon. It did appear to look shiny, but it was in a",11/05/2020
9/06/2020 23:06,Nipomo,CA,Circle,,Orange light seen sparkling and then stationary. Witnessed ifrom our backyard over the mountains. Roughly 10 minutes ago perhaps an,11/05/2020
9/06/2020 22:00,Chelan,WA,Light,45 seconds,I was viewing the night sky directly overhead using a pair of 7X35 standard binoculars. Within a few seconds of putting my eyes to the,11/05/2020
9/06/2020 22:00,Pemaquid,ME,Light,5 seconds,My wife and went to have a nice relaxing night on a Sunday night just got dark and laying on beach watching stars and talking and I gra,11/05/2020
9/06/2020 22:00,Portland,OR,Sphere,All night,"Star splits in two, then three and they move around randomly. Upon magnification it’s not a star but a warbling pulsing spherical orb(s",11/05/2020
9/06/2020 21:34,Canisteo,NY,Fireball,5 seconds,Bright white light,11/05/2020
9/06/2020 20:30,Delanson,NY,Circle,10 minutes,It was a green circle rising then it stopped and changed to red and back to green 3 times then went to white and back to green then low,11/05/2020
9/06/2020 20:06,South Hero,GA,Sphere,2:34,Orange glowing sphere moving slowly and then shrinking,11/05/2020
9/06/2020 19:40,Marblehead,MA,,30 minutes,Bright white light with glare with very small red light at lower right.It was in night sky at approx 25000k ft or higher.Planes landi,12/23/20
9/06/2020 15:00,Plano,TX,Sphere,Brief,Small white dot in the sky.,11/05/2020
9/06/2020 10:30,Lake Wales,FL,Light,3-5 seconds,Saw red lights that turned green that moved too quickly to be a plane. Stopped in mid-air when I said &quot;Oh my God.&quot;,11/05/2020
9/06/2020 8:01,Northampton,MA,Circle,6 seconds,My fiance and i were sitting outside when I saw a round orb like light it went from what I believe to be north to south and took a quic,11/05/2020
9/06/2020 4:00,Glastonbury,CT,Unknown,10 minutes,Unexplained Noise and Energy Reported Across Town,11/05/2020
9/06/2020 3:00,Grantsville,MD,Formation,>1 hour,3 objects in line with each other that were square shaped with triangle shaped lights going back and for between them. All 3 larger obj,11/05/2020
9/06/2020 2:30,Thorndale/Downingtown,PA,Circle,15 minutes,"Driving from Lancaster to Downingtown,we observed at Downingtown & thorndale exit to Manor Ave exit approximately three UFOs two red c",11/05/2020
9/06/2020 0:30,Ottawa (Canada),ON,Light,>1 hour,Bright light slowly rotating around the moon. Almost a full rotation in the last hour. We noticed it because it seemed to be an unfamil,11/05/2020
9/06/2020 0:00,Greenwich,CT,Light,5 hours,Two star light objects traveling in tandem with nearly full moon,11/05/2020
9/06/2020,Huntington Park,CA,Circle,,2 undentified flying objects south of california huntington park moving towards land about couple miles away from land .emiting energy,11/05/2020
9/05/2020 23:00,Fort Pierce,FL,Light,30 seconds,I got out of my car and looked up like I always do. I noticed an incredibly fast aircraft with a very unusual lighting pattern travelin,11/05/2020
9/05/2020 22:30,Pewaukee,WI,Changing,Several minutes,Bright colors with shape shifting.,11/05/2020
9/05/2020 22:19,Lafayette,CA,Flash,5 seconds,I was casually looking at the sky with the sky map app on my phone when I saw something on the horizon. At first I thought it was a pla,11/05/2020
9/05/2020 22:00,Fayetteville,NC,Formation,7 minutes,"My husband and I were at a red light on Owen Dr. in Fayetteville, NC awaiting to turn left onto 301. We both witnessed several lights a",11/05/2020
9/05/2020 22:00,Birdsboro,PA,Light,10 minutes,Saw red light dipping behind treetops and backup again a few times,11/05/2020
9/05/2020 21:54,Southhampton,NY,Circle,2 minutes,"On September 5th, 9:54 p.m., in Southhampton New York, near Shinnecock Bay, seven of us spotted two unidentified flying objects, one sh",12/23/20
9/05/2020 21:45,Paris,TX,Triangle,5 minutes,"I was on my way home from work, it was approximately 21:45 on the evening of 9-25-2020. I was east bound on 82 highway West of Paris T",11/05/2020
9/05/2020 21:30,Hillsborough,NH,Other,1 minute,Big Bright orange light. About small aircraft distance away. Moving fast across the sky looked like the shape of a hot air balloon.,11/05/2020
9/05/2020 21:20,Fayetteville,WV,Sphere,10 minutes,Crafts with Falling sparks,11/05/2020
9/05/2020 21:06,Rome,GA,Fireball,1-2 minutes,Orange ball of light over house,11/05/2020
9/05/2020 21:00,Bakersfield,CA,Triangle,15-20 minutes,This looked like the real triangle famous ufo thing.,11/05/2020
9/05/2020 20:40,Paducah,KY,Light,30 seconds,Sitting on the patio of a restaraunt downtown. Looked up and saw two fairly big orange lights. Not sure how to relate how big it was. 2,11/05/2020
9/05/2020 20:16,Atkinson,NH,Circle,4 seconds,Slow moving circle of white light that shot off in a high rate of speed and instantly was gone!,11/05/2020
9/05/2020 19:05,Santa Fe,NM,Other,3 minutes,"Flying red donut shape, noiseless.",11/05/2020
9/05/2020 15:23,Elizabeth,NJ,Disk,1 minute,Observed a black disc shaped object moving slowly and occasionally emitting a sparkling light.,11/05/2020
9/05/2020 14:33,Pine City,NY,,,MADAR Node 82,11/05/2020
9/05/2020 13:00,Jonesborough,TN,Oval,5 minutes,My son and I was in the yard. I was looking at the jet trails in the sky when I saw a chrome Bean shaped object sitting still. It start,11/05/2020
9/05/2020 12:30,Woodland Park,CO,Fireball,10 seconds,Fireball in Colorado,11/05/2020
9/05/2020 11:35,Evanston,WY,Formation,1 hour,UFO,11/05/2020
9/05/2020 11:00,Greensboro,NC,Light,15 minutes,standing on my front porch looking west I saw something flashing in the sky so I came in to get my binoculars. it was multicolored like,11/05/2020
9/05/2020 4:57,Barrington,NH,Unknown,5 seconds,"I am a Geography teacher, former registered nurse. I've seen some strange lights in the sky a few times, not satellites. This was jus",11/05/2020
9/05/2020 4:35,Boise,ID,,,MADAR Node 111,11/05/2020
9/05/2020 1:30,Covina,CA,Disk,5 seconds,A disk shaped object glowing in bright green light flying with high speed from north to south direction. I am waiting infront of my bed,11/05/2020
9/05/2020 1:30,Temescal Canyon,CA,Fireball,3 seconds,driving home from work at 1:30 am on 15 fwy between south corona/ lake elsinore by nichols exit. Green fire ball came flying down. Poss,11/05/2020
9/05/2020 0:05,Inman,SC,Light,20 seconds,Object spotted off the right on little mountain rd proceeding towards Malcom rd. Caught my attention because the object was bright w,11/05/2020
9/04/2020 23:00,Livingston,NJ,Egg,0.4 seconds,"I was looking at the sky and saw a white thug whiz bye too close to the ground for a meteor, followed by 2 more",12/23/20
