Date / Time,City,State,Shape,Duration,Summary,Posted
12/08/2020 23:00,Bend,OR,Other,6-7 hours,"We are missing 5-7 hours of time and my foot is now injured, and bruises all are healed from acute pancreatitis",12/23/20
12/08/2020 21:50,Great Meadows,NJ,Triangle,5-10 minutes,2 Triangular Ufos with 3 bright green lights appeared in the sky and flew towards eachother.,12/23/20
12/08/2020 18:30,Nogales,AZ,Light,3-5m minutes,Flickering light stops in mid air and starts to shine really bright and ultimately disappears.,12/23/20
12/08/2020 18:30,Denver,CO,Light,ten minutes,"Flashing light in Denver, not plane or helicopter.",12/23/20
12/08/2020 18:10,OCEAN CITY,MD,Light,15 minutes,2 sets of lights hovering over the ocean near the inlet. The lights kept appearing and disappearing in the same area. The lights were,12/23/20
12/08/2020 18:00,Fredericksburg,IA,Rectangle,10 seconds,"I was Driving northbound on hwy 63, 3 miles south of hwy 18 when i saw a bright white lighted, Rectangular object moving very fast thro",12/23/20
12/08/2020 15:00,Greenfield,IN,Light,,"It was the size of a football field at least, hovering over a barn on 200 North",3/02/2021
12/08/2020 12:45,Eureka,KS,Light,5 mins,Two white lights traveling at a high rate of speed.,12/23/20
12/08/2020 6:42,Kenmore,WA,,,MADAR Node 47,1/19/21
12/08/2020 5:35,Princeton,KY,Other,8-10 minutes,"I observed an orb of white light passing over north Princeton, going west to east. It was slow moving and without sound. Two family mem",12/23/20
12/08/2020 2:00,Pacifica,CA,Circle,30 min,Circular red object hovering over Pacific Ocean,12/23/20
12/07/2020 23:23,Anamoose,ND,Disk,2 hours,"Large, spinning , colorful UFO.",12/23/20
12/07/2020 22:32,Colorado Springs,CO,Triangle,4-5 seconds,"Triangular object, white lights, silent but incredibly fast.",12/23/20
12/07/2020 21:00,Garden Valley,CA,Chevron,5 minuetes,Large craft turns into two crafts then appears a third craft.,12/23/20
12/07/2020 20:30,ranchos de taos,NM,Light,a few hours,"Multicolor flickering light shines bright, moves slow up into the sky until it's too far to be seen.",12/23/20
12/07/2020 20:15,Juno Beach,FL,Sphere,5 min,2 orbs off Juno Beach,12/23/20
12/07/2020 19:30,Rockledge,FL,Oval,5 minutes,"Saw 4 orange orbs in total, one passed right over my house slowly, but steadily, I couldnt really make out the shape because it was ver",12/23/20
12/07/2020 19:00,Slidell,LA,Light,2 hours,Here are longitude and latitude 30 18'15&quot; N 89 52'15&quot; w 30 17'39&quot; N 89 52'15&quot;W 30 17'38&quot;N 89 52'23&quot;W,12/23/20
12/07/2020 17:56,North Java,,Light,6 to 10 min.,Took dog out. Large bright white light directly overhead. Not moving then started moving to east and slightly south. Then began to de,12/23/20
12/07/2020 12:57,Phoenixville,PA,Cigar,20 seconds,White haze horizontal cigar/ sphere shaped object. Flying from south to north. Very high in sky no sound. Consistent travel speed. I se,12/23/20
12/07/2020 5:20,Parrish,FL,Sphere,3 minutes,It was a pink orb with a pink tail. When I sat in awe as it was coming down it slowly went up and almost looked as though it was twinkl,12/23/20
12/07/2020 4:45,Buffalo,NY,Changing,Less than 1 minute,"Quick sighting of a strange object flying through the air, accompanied with a loud sound and strange energy.",12/23/20
12/07/2020 0:00,Jacksonville,FL,Sphere,30 seconds,Saw sphere ufo moving up and down and side to side driving back from airport.,12/23/20
12/06/2020 22:00,Bordentown,NJ,Rectangle,10 mins,Few thousand feet above roof..below Orion's belt. Flashing .. pulsing..zoomed in and rectangle shape...I have been trying Ce5 recently.,12/23/20
12/06/2020 20:10,Indianapolis,NY,Light,5 minutes,Red/orange orb hovering and moving in a serpentine pattern in western sky,12/23/20
12/06/2020 19:00,Northbrook,IL,Unknown,,Witnessed near grocery store,12/23/20
12/06/2020 19:00,Edmond,OK,Unknown,45 seconds,Two extremely bright lights appear quickly high in the sky and disappear as fast.,12/23/20
12/06/2020 17:55,Manheim,PA,Triangle,10 ninutes,unusal obect in the sky,12/23/20
12/06/2020 16:45,Indianola,MS,Cigar,10 min,It was about 445pm I was driving in the country and about 1 half mile away was 2 1500 foot tall radio towers and I noticed a small pink,1/19/21
12/06/2020 16:15,Signal Hill,CA,Light,6 Minutes,"I was walking my dog in Signal Hill, Ca. which is a small city atop a hill which overlooks the City of Long Beach, Ca. From my vantage",12/23/20
12/06/2020 11:53,Fort Collins,CO,Fireball,2 seconds,Large orange fireball,12/23/20
12/06/2020 6:24,Bozeman,MT,Formation,10mins,20 objects in a straight line broke off figure eights separate directions,12/23/20
12/06/2020 0:25,Mt. Vernon,IN,,,MADAR Node 119,12/23/20
12/05/2020 23:47,Grand Junction,CO,,,MADAR Node 75,12/23/20
12/05/2020 22:30,Tucson,AZ,Circle,About a minute,Glowing balls,12/23/20
12/05/2020 22:02,Kingman,AZ,Cigar,10 min,"2 red orbs , followed by i bright orange,creeping across sky,evenly spaced",12/23/20
12/05/2020 22:00,Aguanga,CA,Triangle,3 minutes,"These 3 triangular shaped , slow moving, stealth like objects use engines to fly.",12/23/20
12/05/2020 21:10,Breckenridge,TX,Circle,5 minutes,"Orange Orbs over Breckenridge, TX",12/23/20
12/05/2020 20:30,Tallahassee,FL,Light,1 minute,I was walking out to my truck after dark around 8:30 pm to leave after having dinner with my aunt and uncle. I stopped and looked up to,12/23/20
12/05/2020 19:30,Turnpike near Bristol township,PA,Triangle,2-3 minutes,Big triangle takes off at the speed of light.,12/23/20
12/05/2020 19:10,Fairfield,ID,Formation,30,"25 ufo's over Fairfield, ID",12/23/20
12/05/2020 19:03,Huron,SD,Formation,3 min,Line of moving lights in sky,12/23/20
12/05/2020 19:00,Whitewater,WI,Formation,1 minute,Straight linear formation of about 100 solid lights that went out one by one,12/23/20
12/05/2020 19:00,Silt,CO,Formation,3 minutes,"After sunset, looking to the West towards Grand Junction, CO we observed a row of lights, perfectly spaced apart, climbing from just ab",12/23/20
12/05/2020 19:00,santa fe,NM,Formation,?,I was walking home and through the sky I noticed a diagonal stream of twenty or more slow moving orange-ish lights blinking quickly in,12/23/20
12/05/2020 18:55,Leland,NC,Formation,1 minute,"Two Bright Dots, moved simultaneously and faded",12/23/20
12/05/2020 18:45,Beaconsfield,QC,Formation,3- 5 minutes,8 lights in formation moving synchronously.,12/23/20
12/05/2020 18:33,Naubinway,MI,,2 minutes,Forty “Stars” In A Straight Line As They Headed Towards Mars from West to East,12/23/20
12/05/2020 18:30,Columbia city,IN,Sphere,10 sec,It was a trail of lights in a vertical line.,12/23/20
12/05/2020 18:00,Palmer Lake,CO,Circle,3 minutes,These flying objects were flown with precision and their flight patterns were perfectly sequenced and it was highly organized.,12/23/20
